iter	Passed	Remaining
0	5	5665
1	9	4654
2	18	6074
3	24	6214
4	32	6403
5	36	6081
6	43	6137
7	47	5846
8	55	6063
98	149	16473
9	166	16436
10	183	16481
11	188	15528
12	193	14704
13	199	14043
14	203	13381
15	211	13033
16	225	13036
17	232	12692
18	244	12622
19	260	12771
20	265	12385
21	270	12010
22	277	11780
23	284	11554
24	293	11465
25	305	11437
26	319	11528
27	330	11477
28	337	11292
29	362	11732
30	370	11583
31	388	11757
32	394	11554
33	400	11372
34	404	11162
35	413	11085
36	417	10878
37	423	10709
38	429	10587
39	433	10407
40	437	10242
41	446	10182
42	451	10046
43	459	9979
44	466	9902
45	471	9777
46	478	9696
47	483	9586
48	490	9520
49	494	9392
50	498	9277
51	505	9214
52	510	9123
53	516	9043
54	525	9024
55	544	9186
56	549	9096
57	555	9026
58	561	8959
59	565	8862
60	573	8821
61	580	8782
62	586	8720
63	591	8648
64	599	8630
65	609	8620
66	621	8657
67	626	8588
68	635	8571
69	644	8561
70	651	8524
71	657	8471
72	663	8426
73	670	8390
74	673	8309
75	684	8324
76	688	8250
77	691	8175
78	702	8185
79	705	8114
80	709	8051
81	715	8011
82	720	7955
83	723	7894
84	730	7867
85	735	7819
86	745	7819
87	748	7758
88	753	7713
89	760	7689
90	764	7632
91	767	7573
92	771	7523
93	778	7500
94	786	7495
95	788	7426
96	797	7419
97	801	7373
98	804	7322
99	809	7286
100	812	7236
101	816	7189
102	820	7144
103	826	7120
104	832	7098
105	836	7057
106	841	7022
107	848	7012
108	853	6973
109	860	6958
110	864	6921
111	870	6902
112	875	6873
113	880	6841
114	883	6802
115	889	6777
116	895	6755
117	900	6734
118	906	6710
119	910	6678
120	914	6644
121	919	6614
122	928	6617
123	932	6590
124	940	6581
125	946	6564
126	952	6548
127	957	6522
128	963	6506
129	969	6487
130	974	6461
131	978	6431
132	982	6403
133	992	6415
134	996	6387
135	1001	6363
136	1006	6338
137	1011	6315
138	1017	6301
139	1023	6289
140	1028	6265
141	1035	6258
142	1040	6237
143	1046	6219
144	1055	6224
145	1059	6194
146	1066	6187
147	1070	6165
148	1075	6144
149	1085	6149
150	1088	6121
151	1092	6093
152	1095	6066
153	1101	6053
154	1109	6047
155	1115	6036
156	1120	6015
157	1125	6000
158	1131	5982
159	1136	5966
160	1140	5945
161	1149	5946
162	1154	5930
163	1160	5914
164	1165	5899
165	1169	5876
166	1173	5852
167	1178	5834
168	1182	5812
169	1186	5792
170	1194	5792
171	1199	5772
172	1202	5748
173	1207	5729
174	1213	5722
175	1217	5702
176	1223	5688
177	1232	5690
178	1238	5682
179	1244	5670
180	1253	5669
181	1257	5651
182	1263	5639
183	1267	5619
184	1271	5602
185	1280	5603
186	1291	5616
187	1296	5600
188	1300	5578
189	1303	5556
190	1309	5546
191	1314	5532
192	1318	5514
193	1326	5510
194	1330	5493
195	1334	5475
196	1344	5479
197	1351	5476
198	1356	5459
199	1360	5442
200	1364	5425
201	1374	5430
202	1388	5450
203	1392	5435
204	1396	5416
205	1405	5417
206	1409	5399
207	1414	5386
208	1420	5375
209	1425	5362
210	1428	5343
211	1433	5327
212	1440	5322
213	1445	5310
214	1451	5298
215	1455	5282
216	1459	5266
217	1468	5269
218	1482	5285
219	1491	5289
220	1506	5309
221	1520	5329
222	1527	5321
223	1539	5332
224	1559	5371
225	1563	5355
226	1569	5344
227	1579	5347
228	1592	5361
229	1598	5353
230	1606	5346
231	1609	5327
232	1612	5309
233	1623	5315
234	1627	5296
235	1631	5282
236	1635	5265
237	1638	5246
238	1644	5237
239	1653	5236
240	1659	5225
241	1666	5220
242	1671	5206
243	1681	5208
244	1685	5195
245	1690	5182
246	1697	5176
247	1704	5169
248	1708	5152
249	1712	5137
250	1718	5129
251	1724	5117
252	1730	5109
253	1738	5104
254	1744	5097
255	1749	5083
256	1760	5088
257	1785	5135
258	1797	5142
259	1801	5128
260	1825	5168
261	1830	5156
262	1840	5158
263	1856	5176
264	1862	5165
265	1870	5162
266	1880	5163
267	1891	5165
268	1894	5148
269	1898	5132
270	1903	5119
271	1912	5120
272	1917	5106
273	1923	5095
274	1929	5086
275	1935	5077
276	1939	5061
277	1942	5046
278	1947	5031
279	1955	5029
280	1959	5012
281	1962	4996
282	1968	4988
283	1972	4973
284	1976	4958
285	1985	4956
286	1991	4947
287	1994	4931
288	2001	4923
289	2006	4912
290	2017	4916
291	2027	4915
292	2049	4945
293	2059	4944
294	2067	4939
295	2072	4928
296	2075	4913
297	2080	4899
298	2084	4886
299	2088	4873
300	2090	4854
301	2097	4847
302	2104	4841
303	2108	4826
304	2116	4821
305	2121	4811
306	2122	4792
307	2127	4780
308	2132	4769
309	2137	4757
310	2142	4745
311	2148	4737
312	2152	4723
313	2156	4711
314	2162	4702
315	2168	4694
316	2174	4684
317	2182	4680
318	2186	4667
319	2190	4654
320	2194	4641
321	2202	4636
322	2205	4623
323	2210	4611
324	2215	4601
325	2221	4593
326	2229	4588
327	2233	4576
328	2238	4564
329	2245	4558
330	2248	4544
331	2252	4532
332	2255	4518
333	2264	4515
334	2268	4502
335	2275	4496
336	2281	4488
337	2285	4476
338	2288	4462
339	2293	4451
340	2296	4438
341	2303	4430
342	2310	4424
343	2316	4417
344	2325	4415
345	2330	4405
346	2334	4394
347	2341	4387
348	2346	4376
349	2350	4364
350	2354	4352
351	2360	4344
352	2364	4334
353	2368	4322
354	2375	4315
355	2379	4304
356	2388	4302
357	2397	4298
358	2402	4289
359	2407	4279
360	2411	4269
361	2418	4262
362	2425	4255
363	2430	4246
364	2443	4251
365	2449	4243
366	2458	4241
367	2462	4229
368	2465	4216
369	2472	4210
370	2476	4199
371	2479	4186
372	2483	4174
373	2492	4171
374	2497	4161
375	2502	4152
376	2507	4144
377	2514	4138
378	2522	4132
379	2527	4123
380	2534	4117
381	2543	4114
382	2551	4111
383	2557	4102
384	2561	4092
385	2565	4081
386	2569	4070
387	2574	4060
388	2577	4048
389	2580	4036
390	2586	4028
391	2592	4021
392	2599	4014
393	2604	4005
394	2611	3999
395	2620	3996
396	2624	3986
397	2628	3975
398	2633	3967
399	2639	3959
400	2643	3949
401	2653	3947
402	2661	3941
403	2666	3934
404	2671	3924
405	2676	3915
406	2684	3911
407	2689	3902
408	2694	3893
409	2707	3896
410	2710	3884
411	2719	3881
